source: https://buecker.baseball.cbssports.com/transactions?print_rows=9999
captured: 2026-08-03T10:29:28
---
DATE|TEAM|PLAYERS|EFFECTIVE|COST
5/31/26 3:29 PM ET|Trex|Jorge Mateo SS,OF • ATL - Added|6/1/26|$2.50
5/31/26 3:28 PM ET|Trex|Spencer Horwitz 1B • PIT - Added|6/1/26|$2.50
5/31/26 3:23 PM ET|Trex|Adolis Garcia OF • PHI - Dropped|6/1/26|$0.00
5/31/26 3:22 PM ET|Trex|Kirby Yates P • LAA - Dropped|6/1/26|$0.00
5/31/26 2:58 AM ET|Simba's Dublin Green Sox|Curtis Mead 1B,3B • BOS - Added; Luis Garcia 1B,2B • NYY - Dropped|6/1/26|$2.50
5/31/26 2:45 AM ET|Simba's Dublin Green Sox|Colin Holderman P • CLE - Added; Erik Sabrowski P • CLE - Moved to IR|6/1/26|$2.50
5/31/26 2:41 AM ET|Simba's Dublin Green Sox|Jake McCarthy OF • COL - Added; Teoscar Hernandez OF • LAD - Moved to IR|6/1/26|$2.50
5/30/26 7:36 PM ET|Magnum GI|David Sandlin P • CHW - Added; Andre Pallante P • STL - Dropped|6/1/26|$2.50
5/30/26 7:34 PM ET|Magnum GI|Jacob Young OF • WAS - Added; Austin Martin OF • MIN - Dropped|6/1/26|$2.50
5/30/26 2:28 PM ET|Dawg|Luke Weaver P • NYM - Added|6/1/26|$2.50
5/30/26 2:10 PM ET|Dawg|Carlos Cortes OF • ATH - Added|6/1/26|$2.50
5/28/26 2:58 PM ET|Gashouse Gang|Colton Cowser OF • BAL - Added; Josh Bell 1B • MIN - Dropped|6/1/26|$2.50
5/27/26 11:05 PM ET|Dawg|Kyle Finnegan P • DET - Added|6/1/26|$2.50
5/27/26 2:31 AM ET|Big Sticks|Luis Castillo P • CHW - Added off Waivers; Andres Gimenez 2B,SS • TOR - Dropped|6/1/26|$2.50
5/27/26 12:45 AM ET|Like a Nightmare|Shane Baz P • BAL - Added|6/1/26|$2.50
5/26/26 11:37 AM ET|Runtime Terror|Gage Jump P • ATH - Added; Christian Scott P • NYM - Dropped|6/1/26|$2.50
5/25/26 8:11 AM ET|Young Guns|Luis Castillo P • CHW - Dropped|5/25/26|$0.00
5/25/26 6:54 AM ET|Maga Doge|Dustin May P • STL - Dropped|5/25/26|$0.00
5/25/26 3:10 AM ET|Simba's Dublin Green Sox|Dylan Lee P • ATL - Added; Peter Lambert P • HOU - Dropped|5/25/26|$2.50
5/24/26 11:52 PM ET|Magnum GI|Miguel Andujar 3B,OF • SD - Added; Daniel Schneemann 2B,3B,OF • CLE - Dropped|5/25/26|$2.50
5/24/26 11:35 PM ET|Magnum GI|Martin Perez P • ATL - Added|5/25/26|$2.50
5/24/26 8:00 PM ET|Trex|Brice Matthews 2B,OF • HOU - Dropped|5/25/26|$0.00
5/24/26 2:48 PM ET|Guillotine|Ezequiel Duran 1B,2B,3B,SS,OF • TEX - Added; Nolan Schanuel 1B • LAA - Dropped|5/25/26|$2.50
5/24/26 2:38 PM ET|Guillotine|Trevor McDonald P • SF - Dropped|5/25/26|$0.00
5/24/26 9:00 AM ET|Dawg|Ernie Clement 2B,3B,SS • TOR - Added|5/25/26|$2.50
5/24/26 1:39 AM ET|Big Sticks|Noah Cameron P • KC - Added; Jeffrey Springs P • ATH - Dropped|5/25/26|$2.50
5/23/26 6:48 AM ET|Big Sticks|Ramon Laureano OF • SD - Added; Mickey Moniak OF • COL - Moved to IR|5/25/26|$2.50
5/22/26 8:18 PM ET|Gashouse Gang|Griffin Jax P • TB - Added; Jameson Taillon P • TOR - Dropped|5/25/26|$2.50
5/22/26 11:05 AM ET|Runtime Terror|Roki Sasaki P • LAD - Added|5/25/26|$2.50
5/21/26 8:50 PM ET|Gashouse Gang|Josh Bell 1B • MIN - Added; Drake Baldwin C • ATL - Moved to IR|5/25/26|$2.50
5/21/26 7:27 PM ET|Like a Nightmare|Keibert Ruiz C • WAS - Added; Ryan Jeffers C • MIN - Moved to IR|5/25/26|$2.50
5/21/26 7:15 PM ET|Maga Doge|James Wood OF • WAS - Traded from Dawg; Joey Cantillo P • CLE - Traded from Dawg|5/25/26|$2.50
5/21/26 7:15 PM ET|Dawg|Yoshinobu Yamamoto P • LAD - Traded from Maga Doge; Bryan Reynolds OF • PIT - Traded from Maga Doge|5/25/26|$2.50
5/21/26 6:36 PM ET|Young Guns|Cade Cavalli P • WAS - Added|5/25/26|$2.50
5/21/26 6:26 PM ET|Dawg|Caleb Thielbar P • CHC - Dropped|5/25/26|$0.00
5/21/26 6:08 PM ET|Long Balls|Grant Taylor P • CHW - Added; Jack Perkins P • ATH - Dropped|5/25/26|$2.50
5/21/26 12:50 PM ET|Big Sticks|Spencer Steer 1B,OF • CIN - Added; Brenton Doyle OF • COL - Dropped|5/25/26|$2.50
5/20/26 11:28 PM ET|Long Balls|Gavin Sheets 1B,OF • SD - Added|5/25/26|$2.50
5/19/26 6:00 PM ET|Young Guns|Ryan Waldschmidt OF • ARI - Added; Evan Carter OF • TEX - Dropped|5/25/26|$2.50
5/18/26 11:44 PM ET|Like a Nightmare|Merrill Kelly P • ARI - Added; Brandon Sproat P • MIL - Dropped|5/25/26|$2.50
5/18/26 7:13 PM ET|Dawg|Marcus Semien 2B | NYM Added|5/18/26|$2.50
5/18/26 1:09 PM ET|Big Sticks|Brenton Doyle OF • COL - Added; Lucas Giolito P • SD - Dropped|5/18/26|$2.50
5/18/26 9:26 AM ET|Rieken Havoc|Anthony Volpe SS • NYY - Added; Edouard Julien 1B,2B • COL - Dropped|5/18/26|$2.50
5/18/26 9:17 AM ET|Rieken Havoc|Jakob Junis P • TEX - Dropped|5/18/26|$0.00
5/18/26 9:17 AM ET|Rieken Havoc|Alex Vesia P • LAD - Dropped|5/18/26|$0.00
5/18/26 9:14 AM ET|Rieken Havoc|Spencer Steer 1B,OF • CIN - Dropped|5/18/26|$0.00
5/18/26 9:04 AM ET|Guillotine|Bryson Stott 2B • PHI - Added|5/18/26|$2.50
5/18/26 7:23 AM ET|Long Balls|Sam Antonacci 2B,OF • CHW - Dropped|5/18/26|$0.00
5/18/26 3:04 AM ET|Simba's Dublin Green Sox|J.T. Ginn P • ATH - Added; Sean Burke P • CHW - Dropped|5/18/26|$2.50
5/18/26 1:50 AM ET|Like a Nightmare|Brandon Sproat P • MIL - Added; Luis Severino P • ATH - Dropped|5/18/26|$2.50
5/18/26 1:49 AM ET|Like a Nightmare|Andrew Painter P • PHI - Added; Moises Ballesteros DH • CHC - Dropped|5/18/26|$2.50
5/17/26 8:55 PM ET|Big Sticks|Lucas Giolito P • SD - Added|5/18/26|$2.50
5/17/26 6:36 PM ET|Dawg|Luis Arraez 1B,2B • SF - Added|5/18/26|$2.50
5/17/26 5:24 PM ET|Guillotine|Trevor McDonald P • SF - Added|5/18/26|$2.50
5/17/26 12:52 PM ET|Maga Doge|Zack Gelof 2B,3B,OF • ATH - Added; Trevor Story SS • BOS - Moved to IR|5/18/26|$2.50
5/17/26 10:30 AM ET|Dawg|Tanner Bibee P • CLE - Added; Grant Taylor P • CHW - Dropped|5/18/26|$2.50
5/17/26 3:03 AM ET|Simba's Dublin Green Sox|Daniel Susac C • SF - Added; Cal Raleigh C • SEA - Moved to IR|5/18/26|$2.50
5/16/26 6:29 PM ET|Runtime Terror|Christian Scott P • NYM - Added|5/18/26|$2.50
5/16/26 6:23 PM ET|Runtime Terror|Walbert Urena P • LAA - Added|5/18/26|$2.50
5/16/26 6:16 PM ET|Runtime Terror|Dennis Santana P • PIT - Dropped|5/18/26|$0.00
5/16/26 5:48 PM ET|Gashouse Gang|Brenton Doyle OF • COL - Dropped|5/18/26|$0.00
5/16/26 12:22 PM ET|Magnum GI|Austin Martin OF • MIN - Added; Jake McCarthy OF • COL - Dropped|5/18/26|$2.50
5/16/26 10:28 AM ET|Dawg|Zebby Matthews P • MIN - Added|5/18/26|$2.50
5/14/26 6:43 PM ET|Maga Doge|J.J. Bleday OF • CIN - Added; Ramon Laureano OF • SD - Dropped|5/18/26|$2.50
5/14/26 6:57 AM ET|Guillotine|Gabriel Moreno C • ARI - Added; Francisco Alvarez C • NYM - Moved to IR|5/18/26|$2.50
5/13/26 8:56 PM ET|Long Balls|Sam Antonacci 2B,OF • CHW - Added|5/18/26|$2.50
5/13/26 7:30 AM ET|Magnum GI|Jake McCarthy OF • COL - Added|5/18/26|$2.50
5/12/26 6:06 PM ET|Trex|Henry Bolte OF • ATH - Added; Colt Keith 2B,3B • DET - Dropped|5/18/26|$2.50
5/12/26 3:51 PM ET|Dawg|A.J. Ewing OF • NYM - Added; Hye Seong Kim 2B,SS • LAD - Dropped|5/18/26|$2.50
5/12/26 12:02 PM ET|Big Sticks|Andres Gimenez 2B,SS • TOR - Added; Marcus Semien 2B • NYM - Dropped|5/18/26|$2.50
5/12/26 1:05 AM ET|Young Guns|Caleb Kilian P • SF - Added; Tanner Bibee P • CLE - Dropped|5/18/26|$2.50
5/11/26 5:14 PM ET|Guillotine|JR Ritchie P • ATL - Dropped|5/11/26|$0.00
5/11/26 5:13 PM ET|Guillotine|Nolan Schanuel 1B • LAA - Added|5/11/26|$2.50
5/11/26 4:41 PM ET|Simba's Dublin Green Sox|Erik Sabrowski P • CLE - Added; Kyle Finnegan P • DET - Dropped|5/11/26|$2.50
5/11/26 10:58 AM ET|Maga Doge|Ryne Nelson P • ARI - Added|5/11/26|$2.50
5/11/26 10:53 AM ET|Guillotine|Tony Santillan P • CIN - Dropped|5/11/26|$0.00
5/11/26 10:52 AM ET|Runtime Terror|Esteury Ruiz OF • MIA - Added; Roki Sasaki P • LAD - Dropped|5/11/26|$2.50
5/11/26 8:43 AM ET|Dawg|Tomoyuki Sugano P • COL - Dropped|5/11/26|$0.00
5/10/26 9:00 PM ET|Trex|Adolis Garcia OF • PHI - Added|5/11/26|$2.50
5/10/26 8:58 PM ET|Trex|Carlos Correa 3B,SS • HOU - Dropped|5/11/26|$0.00
5/10/26 8:01 PM ET|Simba's Dublin Green Sox|Brayan Rocchio 2B,SS • CLE - Added; Kerry Carpenter OF • DET - Moved to IR|5/11/26|$2.50
5/10/26 1:31 AM ET|Magnum GI|Andre Pallante P • STL - Added; Tyler Glasnow P • LAD - Moved to IR|5/11/26|$2.50
5/10/26 12:18 AM ET|Like a Nightmare|Matt Wallner OF • MIN - Dropped|5/11/26|$0.00
5/9/26 7:22 PM ET|Gashouse Gang|Jameson Taillon P • TOR - Added; Matthew Boyd P • CHC - Moved to IR|5/11/26|$2.50
5/9/26 7:15 PM ET|Gashouse Gang|Nate Lowe 1B • CIN - Added; Dominic Smith 1B • ATL - Dropped|5/11/26|$2.50
5/9/26 6:01 PM ET|Young Guns|Luke Raley 1B,OF • SEA - Added|5/11/26|$2.50
5/8/26 5:22 PM ET|Simba's Dublin Green Sox|Willy Adames SS • SF - Traded from Like a Nightmare; Paul Skenes P • PIT - Traded from Like a Nightmare|5/11/26|$2.50
5/8/26 5:22 PM ET|Like a Nightmare|David Bednar P • NYY - Traded from Simba's Dublin Green Sox; Bobby Witt SS • KC - Traded from Simba's Dublin Green Sox|5/11/26|$2.50
5/8/26 5:19 PM ET|Simba's Dublin Green Sox|Antonio Senzatela P • COL - Added|5/11/26|$2.50
5/7/26 8:47 PM ET|Long Balls|Spencer Jones OF • NYY - Added; Adolis Garcia OF • PHI - Dropped|5/11/26|$2.50
5/7/26 3:49 PM ET|Long Balls|Robby Snelling P • MIA - Added; Cade Cavalli P • WAS - Dropped|5/11/26|$2.50
5/7/26 2:59 PM ET|Magnum GI|Samuel Basallo C • BAL - Added|5/11/26|$2.50
5/7/26 9:56 AM ET|Runtime Terror|Logan Henderson P • MIL - Added; Noah Cameron P • KC - Dropped|5/11/26|$2.50
5/7/26 8:52 AM ET|Big Sticks|Marcus Semien 2B • NYM - Added; Caleb Kilian P • SF - Dropped|5/11/26|$2.50
5/7/26 2:58 AM ET|Simba's Dublin Green Sox|Peter Lambert P • HOU - Added; Emilio Pagan P • CIN - Moved to IR|5/11/26|$2.50
5/6/26 8:35 PM ET|Young Guns|Casey Schmitt 2B,3B,OF • SF - Added|5/11/26|$2.50
5/6/26 8:13 PM ET|Big Sticks|Caleb Kilian P • SF - Added; Ryan Walker P • SF - Dropped|5/11/26|$2.50
5/6/26 7:14 PM ET|Like a Nightmare|Reid Detmers P • LAA - Added|5/11/26|$2.50
5/6/26 7:04 PM ET|Like a Nightmare|Justin Crawford OF • PHI - Dropped|5/11/26|$0.00
5/6/26 6:59 PM ET|Like a Nightmare|Brice Turang 2B • MIL - Traded from Runtime Terror; Taylor Ward OF • BAL - Traded from Runtime Terror|5/11/26|$2.50
5/6/26 6:59 PM ET|Runtime Terror|Travis Bazzana 2B • CLE - Traded from Like a Nightmare; Shohei Ohtani (Pitcher) P • LAD - Traded from Like a Nightmare|5/11/26|$2.50
5/6/26 12:34 PM ET|Gashouse Gang|Aaron Nola P • PHI - Added; Rhett Lowder P • CIN - Dropped|5/11/26|$2.50
5/6/26 10:29 AM ET|Runtime Terror|Andrew Abbott P • CIN - Dropped|5/11/26|$0.00
5/6/26 10:23 AM ET|Runtime Terror|Jared Jones P • PIT - Added; Jack Kochanowicz P • LAA - Dropped|5/11/26|$2.50
5/5/26 10:28 PM ET|Guillotine|Tony Santillan P • CIN - Added; Nolan Schanuel 1B • LAA - Dropped|5/11/26|$2.50
5/5/26 4:25 PM ET|Gashouse Gang|Jack Leiter P • TEX - Added; Tarik Skubal P • LAD - Moved to IR|5/11/26|$2.50
5/4/26 6:30 PM ET|Long Balls|Mark Vientos 1B,3B • NYM - Added; Coby Mayo 1B,3B • BAL - Dropped|5/11/26|$2.50
5/4/26 5:04 PM ET|Guillotine|Michael Burrows P • HOU - Dropped|5/4/26|$0.00
5/4/26 2:45 PM ET|Trex|Brice Matthews 2B,OF • HOU - Added|5/4/26|$2.50
5/4/26 1:54 PM ET|Trex|Reid Detmers P • LAA - Dropped|5/4/26|$0.00
5/4/26 1:45 PM ET|Trex|Sal Frelick OF • MIL - Dropped|5/4/26|$0.00
5/4/26 8:45 AM ET|Rieken Havoc|Spencer Steer 1B,OF • CIN - Added; Luis Robert OF • NYM - Moved to IR|5/4/26|$2.50
5/4/26 8:26 AM ET|Magnum GI|Garrett Mitchell OF • MIL - Dropped|5/4/26|$0.00
5/4/26 3:13 AM ET|Simba's Dublin Green Sox|Sean Burke P • CHW - Added; Merrill Kelly P • ARI - Dropped|5/4/26|$2.50
5/4/26 3:00 AM ET|Simba's Dublin Green Sox|Kyle Finnegan P • DET - Added; Aaron Nola P • PHI - Dropped|5/4/26|$2.50
5/4/26 12:12 AM ET|Like a Nightmare|Luis Severino P • ATH - Added; Tyler Phillips P • MIA - Dropped|5/4/26|$2.50
5/4/26 12:05 AM ET|Like a Nightmare|Justin Crawford OF • PHI - Added|5/4/26|$2.50
5/3/26 11:56 PM ET|Like a Nightmare|Ceddanne Rafaela 2B,OF • BOS - Added; Luke Raley 1B,OF • SEA - Dropped|5/4/26|$2.50
5/3/26 4:49 PM ET|Big Sticks|Joel Kuhnel P • MIL - Dropped|5/4/26|$0.00
5/3/26 3:53 PM ET|Long Balls|Jack Perkins P • ATH - Added; Jack Leiter P • TEX - Dropped|5/4/26|$2.50
5/3/26 2:27 PM ET|Maga Doge|Dustin May P • STL - Added; Chase Silseth P • TEX - Dropped|5/4/26|$2.50
5/3/26 9:02 AM ET|Young Guns|Bailey Ober P • MIN - Added; Andrew Painter P • PHI - Dropped|5/4/26|$2.50
5/2/26 8:28 PM ET|Trex|Shane Baz P • BAL - Dropped|5/4/26|$0.00
5/2/26 8:36 AM ET|Maga Doge|Rico Garcia P • BAL - Added|5/4/26|$2.50
5/2/26 7:59 AM ET|Young Guns|Foster Griffin P • WAS - Added|5/4/26|$2.50
5/2/26 7:47 AM ET|Long Balls|Cade Cavalli P • WAS - Added|5/4/26|$2.50
5/1/26 11:18 PM ET|Big Sticks|Jacob Latz P • TEX - Added; Andres Gimenez 2B,SS • TOR - Dropped|5/4/26|$2.50
4/29/26 12:53 PM ET|Gashouse Gang|Jonathan India 2B,3B,OF • KC - Dropped|5/4/26|$0.00
4/29/26 1:17 AM ET|Like a Nightmare|Tyler Phillips P • MIA - Added|5/4/26|$2.50
4/28/26 10:39 PM ET|Magnum GI|Daniel Schneemann 2B,3B,OF • CLE - Added; Max Muncy 2B,3B • ATH - Moved to IR|5/4/26|$2.50
4/28/26 5:44 PM ET|Long Balls|Coby Mayo 1B,3B | BAL Added|4/27/26|$2.50
4/28/26 12:50 PM ET|Maga Doge|Gregory Soto P • PIT - Added; Dustin May P • STL - Dropped|5/4/26|$2.50
4/28/26 3:02 AM ET|Trex|Seth Lugo P • KC - Added off Waivers; Justin Crawford OF • PHI - Dropped|5/4/26|$2.50
4/28/26 1:25 AM ET|Like a Nightmare|Ryan Jeffers C • MIN - Added; Yainer Diaz C • HOU - Dropped|5/4/26|$2.50
4/27/26 9:39 PM ET|Like a Nightmare|Travis Bazzana 2B • CLE - Added; Ezequiel Tovar SS • COL - Dropped|5/4/26|$2.50
4/27/26 5:35 PM ET|Gashouse Gang|Sean Manaea P • NYM - Dropped|4/27/26|$0.00
4/27/26 10:26 AM ET|Rieken Havoc|Carson Benge OF • NYM - Added; Wyatt Langford OF • TEX - Moved to IR|4/27/26|$2.50
4/27/26 10:09 AM ET|Rieken Havoc|Nasim Nunez 2B,SS • WAS - Added; Francisco Lindor SS • NYM - Moved to IR|4/27/26|$2.50
4/27/26 7:49 AM ET|Runtime Terror|Jack Kochanowicz P • LAA - Added|4/27/26|$2.50
4/27/26 7:48 AM ET|Maga Doge|Chase Silseth P • TEX - Added; Jordan Romano P • COL - Dropped|4/27/26|$2.50
4/27/26 3:31 AM ET|Simba's Dublin Green Sox|Brooks Lee 2B,3B,SS • MIN - Added; Ceddanne Rafaela 2B,OF • BOS - Dropped|4/27/26|$2.50
4/27/26 2:52 AM ET|Simba's Dublin Green Sox|Marcus Semien 2B • NYM - Dropped|4/27/26|$0.00
4/26/26 7:36 PM ET|Magnum GI|Reynaldo Lopez P • ATL - Dropped|4/27/26|$0.00
4/26/26 7:32 PM ET|Magnum GI|Davis Martin P • CHW - Added; Raisel Iglesias P • ATL - Moved to IR|4/27/26|$2.50
4/26/26 7:05 PM ET|Long Balls|Kodai Senga P • NYM - Dropped|4/27/26|$0.00
4/26/26 6:30 PM ET|Young Guns|Gus Varland P • WAS - Added; Gregory Soto P • PIT - Dropped|4/27/26|$2.50
4/26/26 6:29 PM ET|Guillotine|JR Ritchie P • ATL - Added; Seth Lugo P • KC - Dropped|4/27/26|$2.50
4/26/26 4:58 PM ET|Long Balls|Owen Caissie OF • MIA - Dropped|4/27/26|$0.00
4/25/26 10:05 PM ET|Like a Nightmare|Yusei Kikuchi P • LAA - Added; Luis Severino P • ATH - Dropped|4/27/26|$2.50
4/25/26 9:37 PM ET|Dawg|Nick Martinez P • TB - Added; Jack Flaherty P • DET - Dropped|4/27/26|$2.50
4/25/26 7:27 PM ET|Magnum GI|Joshua Lowe OF • LAA - Dropped|4/27/26|$0.00
4/25/26 7:26 PM ET|Magnum GI|Ildemaro Vargas 1B,2B • ARI - Added|4/27/26|$2.50
4/25/26 10:41 AM ET|Trex|Sal Frelick OF • MIL - Added|4/27/26|$2.50
4/25/26 9:52 AM ET|Long Balls|Josh Bell 1B • MIN - Dropped|4/27/26|$0.00
4/24/26 9:22 PM ET|Gashouse Gang|Brandon Marsh OF • PHI - Added; Colton Cowser OF • BAL - Dropped|4/27/26|$2.50
4/23/26 7:03 PM ET|Young Guns|Walker Buehler P • SD - Dropped|4/27/26|$0.00
4/23/26 12:58 PM ET|Runtime Terror|Chase Dollander P • COL - Added; Eduardo Rodriguez P • ARI - Dropped|4/27/26|$2.50
4/22/26 5:55 PM ET|Gashouse Gang|Brady Singer P • CIN - Dropped|4/27/26|$0.00
4/22/26 11:00 AM ET|Maga Doge|Dustin May P • STL - Added; Ryne Nelson P • ARI - Dropped|4/27/26|$2.50
4/22/26 9:00 AM ET|Runtime Terror|Dominic Canzone OF • SEA - Added; Mark Vientos 1B,3B • NYM - Dropped|4/27/26|$2.50
4/22/26 8:55 AM ET|Runtime Terror|Josh Jung 3B • TEX - Added|4/27/26|$2.50
4/21/26 10:41 PM ET|Big Sticks|Ryan Walker P • SF - Added; Enyel De Los Santos P • HOU - Dropped|4/27/26|$2.50
4/21/26 8:45 PM ET|Dawg|Connor Norby 1B,3B • MIA - Dropped|4/27/26|$0.00
4/20/26 7:42 PM ET|Gashouse Gang|Dominic Smith 1B • ATL - Added; Jonathan India 2B,3B,OF • KC - Moved to IR|4/27/26|$2.50
4/20/26 7:07 PM ET|Dawg|Caleb Thielbar P • CHC - Added|4/20/26|$2.50
4/20/26 6:52 PM ET|Long Balls|Dalton Rushing C | LAD Added|4/20/26|$2.50
4/20/26 6:28 PM ET|Rieken Havoc|Tanner Scott P • LAD - Added; Tatsuya Imai P • HOU - Moved to IR|4/27/26|$2.50
4/20/26 6:27 PM ET|Rieken Havoc|Alex Vesia P | LAD Added|4/20/26|$2.50
4/20/26 1:00 PM ET|Rieken Havoc|Louie Varland P • TOR - Added; Mick Abel P • MIN - Moved to IR|4/20/26|$2.50
4/20/26 11:50 AM ET|Rieken Havoc|Jhoan Duran P | PHI Move to Injured|4/20/26|$0.00
4/20/26 11:49 AM ET|Rieken Havoc|Brad Keller P | PHI Added|4/20/26|$2.50
4/20/26 11:48 AM ET|Rieken Havoc|Edouard Julien 1B,2B • COL - Added; Jorge Polanco 2B • NYM - Moved to IR|4/20/26|$2.50
4/20/26 10:24 AM ET|Dawg|Hye Seong Kim 2B,SS • LAD - Added|4/20/26|$2.50
4/20/26 1:48 AM ET|Young Guns|Tanner Bibee P • CLE - Added off Waivers; Lance McCullers P • MIL - Dropped|4/20/26|$2.50
4/18/26 10:29 AM ET|Maga Doge|Jake Bauers 1B,OF • MIL - Added; Kyle Manzardo 1B • CLE - Dropped|4/20/26|$2.50
4/18/26 10:26 AM ET|Maga Doge|Jorge Soler OF • LAA - Added; Carson Benge OF • NYM - Dropped|4/20/26|$2.50
4/18/26 2:03 AM ET|Simba's Dublin Green Sox|Tanner Bibee P • CLE - Dropped|4/20/26|$0.00
4/18/26 12:35 AM ET|Young Guns|Justin Wrobleski P • LAD - Added; TJ Rumfield 1B • COL - Dropped|4/20/26|$2.50
4/17/26 7:03 PM ET|Dawg|Connor Norby 1B,3B • MIA - Added|4/20/26|$2.50
4/17/26 6:03 PM ET|Big Sticks|Enyel De Los Santos P • HOU - Added; Daniel Palencia P • CHC - Moved to IR|4/20/26|$2.50
4/17/26 1:50 PM ET|Like a Nightmare|Luke Raley 1B,OF • SEA - Added|4/20/26|$2.50
4/17/26 1:48 PM ET|Like a Nightmare|Jazz Chisholm Jr. 2B,3B • NYY - Traded from Gashouse Gang|4/20/26|$2.50
4/17/26 1:48 PM ET|Gashouse Gang|Jacob Misiorowski P • MIL - Traded from Like a Nightmare; Steven Kwan OF • CLE - Traded from Like a Nightmare|4/20/26|$2.50
4/17/26 9:27 AM ET|Trex|Didier Fuentes P • ATL - Added; Cade Cavalli P • WAS - Dropped|4/20/26|$2.50
4/17/26 1:41 AM ET|Like a Nightmare|Luis Severino P • ATH - Added; Ryan Walker P • SF - Dropped|4/20/26|$2.50
4/17/26 1:32 AM ET|Like a Nightmare|Moises Ballesteros DH • CHC - Added; Sal Frelick OF • MIL - Dropped|4/20/26|$2.50
4/16/26 10:33 PM ET|Young Guns|Walker Buehler P • SD - Added|4/20/26|$2.50
4/16/26 7:34 PM ET|Big Sticks|Landen Roupp P • SF - Added; Jorge Soler OF • LAA - Dropped|4/20/26|$2.50
4/16/26 3:32 PM ET|Magnum GI|Jeremiah Jackson 2B,OF • BAL - Added; Troy Johnston OF • COL - Dropped|4/20/26|$2.50
4/15/26 7:24 PM ET|Long Balls|Spencer Arrighetti P • HOU - Added|4/20/26|$2.50
4/15/26 1:43 AM ET|Simba's Dublin Green Sox|Trent Grisham OF • NYY - Added off Waivers; James Tibbs OF • LAD - Sent to Minors|4/20/26|$2.50
4/14/26 12:20 AM ET|Young Guns|Trent Grisham OF | NYY Dropped|4/13/26|$0.00
4/14/26 12:19 AM ET|Young Guns|Evan Carter OF | TEX Added|4/13/26|$2.50
4/13/26 10:50 AM ET|Dawg|Jack Flaherty P • DET - Added; Bryan Abreu P • HOU - Dropped|4/13/26|$2.50
4/13/26 10:26 AM ET|Big Sticks|Joel Kuhnel P • MIL - Added; Robert Garcia P • TEX - Dropped|4/13/26|$2.50
4/13/26 9:32 AM ET|Runtime Terror|Eduardo Rodriguez P • ARI - Added; Griffin Jax P • TB - Dropped|4/13/26|$2.50
4/12/26 2:35 AM ET|Simba's Dublin Green Sox|Angel Martinez 2B,OF • CLE - Added; Chad Patrick P • MIL - Dropped|4/13/26|$2.50
4/12/26 2:26 AM ET|Like a Nightmare|Noah Schultz P • CHW - Added; Bryson Stott 2B • PHI - Dropped|4/13/26|$2.50
4/12/26 2:22 AM ET|Like a Nightmare|Ezequiel Tovar SS • COL - Added off Waivers; David Hamilton 2B,3B,SS • MIL - Dropped|4/13/26|$2.50
4/11/26 3:01 PM ET|Dawg|Noelvi Marte 3B,OF • CIN - Added|4/13/26|$2.50
4/11/26 2:52 PM ET|Dawg|Brandon Marsh OF • PHI - Dropped|4/13/26|$0.00
4/11/26 2:48 PM ET|Dawg|Aaron Ashby P • MIL - Added|4/13/26|$2.50
4/11/26 12:22 PM ET|Gashouse Gang|Rhett Lowder P • CIN - Added; Matthew Boyd P • CHC - Moved to IR|4/13/26|$2.50
4/10/26 11:06 PM ET|Big Sticks|Jorge Soler OF • LAA - Added; Cole Sands P • MIN - Dropped|4/13/26|$2.50
4/10/26 11:05 PM ET|Big Sticks|Andres Gimenez 2B,SS • TOR - Added; Ezequiel Tovar SS • COL - Dropped|4/13/26|$2.50
4/10/26 6:26 PM ET|Magnum GI|Troy Johnston OF • COL - Added; Brent Rooker OF • ATH - Moved to IR|4/13/26|$2.50
4/10/26 5:44 PM ET|Long Balls|Josh Bell 1B • MIN - Added|4/13/26|$2.50
4/9/26 10:07 PM ET|Guillotine|Michael Burrows P • HOU - Added; Luis Arraez 1B,2B • SF - Dropped|4/13/26|$2.50
4/9/26 3:24 PM ET|Runtime Terror|Mark Vientos 1B,3B • NYM - Added; Alec Bohm 3B • PHI - Dropped|4/13/26|$2.50
4/9/26 3:20 PM ET|Big Sticks|Jeffrey Springs P • ATH - Added; Rhett Lowder P • CIN - Dropped|4/13/26|$2.50
4/9/26 11:12 AM ET|Guillotine|Jameson Taillon P • TOR - Dropped|4/13/26|$0.00
4/9/26 10:27 AM ET|Long Balls|Colt Emerson SS • SEA - Added|4/13/26|$2.50
4/9/26 9:52 AM ET|Runtime Terror|Luis Gil P • NYY - Added; Joe Boyle P • TB - Dropped|4/13/26|$2.50
4/9/26 1:42 AM ET|Guillotine|Daulton Varsho OF • TOR - Added off Waivers|4/13/26|$2.50
4/8/26 2:50 PM ET|Magnum GI|Tyler Fitzgerald 2B • LAD - Dropped|4/13/26|$0.00
4/8/26 2:49 PM ET|Magnum GI|Garrett Mitchell OF • MIL - Added; Jake Bauers 1B,OF • MIL - Dropped|4/13/26|$2.50
4/8/26 1:21 PM ET|Gashouse Gang|Jonathan India 2B,3B,OF • KC - Added|4/13/26|$2.50
4/8/26 12:52 PM ET|Like a Nightmare|Yainer Diaz C • HOU - Added; Samuel Basallo C • BAL - Dropped|4/13/26|$2.50
4/8/26 12:04 AM ET|Like a Nightmare|David Hamilton 2B,3B,SS • MIL - Added|4/13/26|$2.50
4/7/26 10:25 PM ET|Rieken Havoc|Jakob Junis P • TEX - Added; Mark Leiter P • ATH - Dropped|4/13/26|$2.50
